emp_no,salary,from_date,to_date
41540,40000,1990-03-06,1991-03-06
41543,40000,1986-08-27,1987-08-27
41545,40000,1995-10-04,1996-10-03
41546,40000,1985-12-18,1986-12-18
41548,40000,1996-01-06,1997-01-05
41548,39562,1997-01-05,1998-01-05
41565,40000,1997-07-02,1998-07-02
41566,40000,1999-11-16,2000-11-15
41568,40000,1996-11-18,1997-11-18
41571,40000,1998-01-25,1999-01-25
41573,40000,1994-04-03,1995-04-03
41574,40000,1998-10-14,1999-08-24
41575,40000,1994-06-16,1995-06-16
41579,40000,1999-07-14,2000-07-13
41579,39908,2000-07-13,2001-07-13
41581,40000,1997-06-20,1998-06-20
41584,40000,1988-06-11,1989-06-11
41592,40000,1989-01-27,1990-01-27
41593,40000,1988-08-04,1989-08-04
41597,40000,1997-02-26,1998-02-26
41603,40000,1990-03-13,1991-03-13
41610,40000,1990-06-16,1991-06-16
41611,40000,1996-09-13,1997-09-13
41611,39510,1997-09-13,1998-09-13
41613,40000,1994-07-28,1995-07-28
41613,39750,1995-07-28,1995-09-21
41621,40000,1990-01-25,1991-01-25
41631,40000,1994-02-16,1995-02-16
41635,40000,1999-02-05,2000-02-05
41638,40000,1996-12-11,1997-12-11
41642,40000,1985-10-05,1986-10-05
41646,40000,1985-12-11,1986-12-11
41656,40000,1993-05-21,1994-05-21
41664,40000,1993-08-04,1994-08-04
41667,40000,1999-12-10,2000-12-09
41670,40000,1988-03-20,1989-03-20
41671,40000,1999-09-04,2000-09-03
41672,40000,1994-05-14,1995-05-14
41674,40000,1985-03-10,1986-03-10
41676,40000,1985-08-23,1986-08-23
41681,40000,1999-02-18,2000-02-18
41685,40000,1999-06-20,2000-06-19
41688,40000,1992-12-31,1993-12-31
41691,40000,1998-05-09,1999-05-09
41692,40000,1987-06-22,1988-06-21
41694,40000,1992-06-27,1993-06-27
41696,40000,1989-02-23,1990-02-23
41697,40000,1999-04-23,2000-04-22
41699,40000,1996-01-10,1997-01-09
41707,40000,1994-10-04,1995-10-04
41709,40000,1995-07-08,1996-07-07
41711,40000,1996-11-20,1997-11-20
41712,40000,1997-10-14,1998-10-14
41716,40000,1998-11-18,1999-11-18
41718,40000,1988-06-09,1989-06-09
41720,40000,1997-11-04,1998-11-04
41731,40000,1985-06-07,1985-07-28
41736,40000,1992-06-27,1993-06-27
41744,40000,1999-05-20,2000-05-19
41744,39727,2000-05-19,2001-05-19
41748,40000,1999-05-25,2000-05-24
41749,40000,1994-11-09,1995-11-09
41751,40000,1995-11-10,1996-11-09
41752,40000,1994-11-03,1995-11-03
41753,40000,1999-08-12,2000-08-11
41755,40000,1985-11-26,1986-11-26
41757,40000,1999-07-02,2000-07-01
41761,40000,1998-08-11,1999-07-20
41762,40000,1991-07-28,1992-07-27
41764,40000,1993-07-26,1994-07-26
41765,39718,1987-11-29,1988-11-28
41768,40000,2000-01-26,2001-01-25
41773,40000,1985-11-06,1986-11-06
41773,39637,1986-11-06,1987-11-06
41773,39515,1987-11-06,1988-01-15
41774,40000,1998-09-28,1999-09-28
41775,40000,1990-03-25,1991-03-25
41775,39864,1991-03-25,1992-03-24
41776,40000,1996-05-04,1997-05-04
41778,40000,1998-12-25,1999-12-25
41784,40000,1989-11-20,1990-11-20
41786,40000,1985-08-30,1986-08-30
41790,40000,1994-11-30,1995-11-30
41793,40000,1996-10-01,1997-10-01
41796,40000,1988-09-11,1989-09-11
41801,40000,1992-03-08,1993-03-08
41806,40000,1999-10-11,2000-10-10
41808,40000,1990-12-13,1991-12-13
41809,40000,1986-09-30,1987-09-30
41812,40000,1987-12-17,1988-12-16
41812,39595,1988-12-16,1989-12-16
41812,39574,1989-12-16,1990-12-16
41814,40000,1992-05-24,1993-05-24
41818,40000,1999-06-07,1999-06-07
41823,40000,1999-04-27,2000-04-26
41824,40000,1995-07-23,1996-07-22
41824,39772,1996-07-22,1997-07-22
41824,39727,1997-07-22,1998-07-22
41826,40000,1994-03-25,1995-03-25
41827,40000,1985-07-31,1986-07-31
41828,40000,1992-09-14,1993-09-14
41831,40000,1995-04-05,1996-04-03
41833,40000,1989-02-01,1990-02-01
41835,40000,1992-03-28,1993-03-28
41836,40000,1997-03-22,1998-03-22
41838,40000,1990-04-28,1991-04-28
41839,40000,1987-09-18,1988-09-17
41842,40000,1990-04-21,1991-04-21
41845,40000,1990-09-19,1991-09-19
41849,40000,1990-09-02,1991-09-02
41851,40000,1998-08-29,1999-08-29
41852,40000,1987-10-23,1988-10-22
41852,39512,1988-10-22,1989-10-22
41852,39339,1989-10-22,1990-10-22
41854,40000,1995-07-06,1996-07-05
41855,40000,1987-08-14,1988-08-13
41865,40000,1993-09-05,1994-09-05
41865,39835,1994-09-05,1995-09-05
41869,40000,1993-03-29,1994-03-29
41871,40000,1985-09-25,1986-09-25
41872,40000,1998-06-11,1999-06-11
41876,40000,1992-06-06,1993-06-06
41878,40000,1995-03-26,1996-03-25
41883,40000,1995-12-23,1996-12-22
41891,40000,1989-04-26,1990-04-26
41893,40000,1998-08-17,1999-01-31
41894,40000,1986-08-24,1987-08-24
41899,40000,1989-06-19,1990-06-19
41902,40000,1986-04-01,1987-04-01
41908,40000,1999-04-10,2000-04-09
41909,40000,1986-06-07,1987-06-07
41913,40000,1989-08-03,1990-08-03
41914,40000,1989-04-12,1990-04-12
41916,40000,1990-12-21,1991-12-21
41920,40000,1989-02-15,1990-02-15
41921,40000,1989-01-22,1990-01-22
41925,40000,1985-09-26,1986-09-26
41929,40000,1994-11-15,1995-11-15
41930,40000,1990-02-25,1991-02-25
41930,39505,1991-02-25,1992-02-25
41931,40000,1995-08-24,1996-08-23
41932,40000,1991-12-08,1992-12-07
41932,39764,1992-12-07,1993-12-07
41941,40000,1999-04-01,2000-03-31
41946,40000,1996-02-27,1997-02-26
41949,40000,1994-12-08,1995-12-08
41949,39566,1995-12-08,1996-12-07
41954,40000,1996-10-29,1997-10-29
41956,40000,1988-09-28,1989-09-28
41965,40000,1999-07-17,2000-07-16
41966,40000,1997-11-16,1998-11-16
41971,40000,1990-03-12,1991-03-12
41976,40000,1996-12-08,1997-12-08
41976,40000,1998-12-08,1999-12-08
41978,40000,1986-03-17,1987-03-17
41979,40000,1988-11-15,1989-11-15
41981,40000,1998-07-25,1999-07-25
41983,40000,1986-12-22,1987-12-22
41993,40000,1994-01-15,1995-01-15
41994,40000,1990-09-22,1991-09-22
42002,40000,1992-05-30,1993-05-30
42008,40000,1990-04-13,1991-04-13
42010,40000,1991-02-05,1992-02-05
42012,40000,1994-02-03,1995-02-03
42014,40000,1990-05-27,1991-05-27
42018,40000,1989-02-19,1990-02-19
42019,40000,1986-09-17,1987-09-17
42020,40000,1986-05-14,1987-05-14
42021,40000,1991-04-20,1992-04-19
42024,40000,1997-01-07,1998-01-07
42027,40000,1997-04-26,1998-04-26
42030,40000,1987-10-20,1988-10-19
42032,40000,1990-08-13,1991-08-13
42034,40000,1999-02-10,2000-02-10
42036,40000,1996-03-31,1997-03-31
42041,40000,1996-06-23,1997-06-23
42043,40000,1989-06-02,1990-06-02
42043,39591,1990-06-02,1991-06-02
42048,40000,1992-11-27,1993-11-27
42050,40000,1992-10-18,1993-10-18
42053,40000,1990-02-06,1991-02-06
42056,40000,1995-01-07,1996-01-07
42068,40000,1985-10-05,1986-10-05
42070,40000,1991-11-13,1992-11-12
42071,40000,1990-02-26,1991-02-26
42073,40000,1994-06-02,1995-06-02
42075,40000,1986-11-10,1987-11-10
42079,40000,1991-01-08,1992-01-08
42083,40000,1988-01-06,1989-01-05
42087,40000,1997-06-08,1998-06-08
42088,40000,1998-12-04,1999-12-04
42093,40000,1985-09-16,1986-09-16
42094,40000,1998-10-01,1999-10-01
42094,39659,1999-10-01,2000-09-30
42094,39414,2000-09-30,2001-09-30
42094,39732,2001-09-30,9999-01-01
42099,40000,1994-06-17,1995-06-17
42102,40000,1989-11-30,1990-11-30
42104,40000,1986-09-18,1987-09-18
42105,40000,1997-07-07,1997-08-02
42106,40000,1997-02-14,1998-02-14
42106,39857,1998-02-14,1999-02-14
42108,40000,1986-07-12,1987-07-12
42111,40000,1989-07-26,1990-07-26
42112,40000,1998-09-14,1999-09-14
42112,39506,1999-09-14,2000-09-13
42113,40000,1990-05-09,1991-05-09
42114,40000,1995-01-27,1996-01-27
42116,40000,1989-03-31,1990-03-31
42127,40000,1996-11-04,1997-11-04
42127,39547,1997-11-04,1998-11-04
42127,39810,1998-11-04,1999-11-04
42130,40000,1992-07-12,1993-07-12
42133,40000,1988-03-04,1989-03-04
42134,40000,1985-06-03,1986-06-03
42144,40000,1994-09-15,1995-09-15
42145,40000,1990-12-05,1991-09-23
42149,40000,1998-06-27,1999-06-27
42152,40000,1999-03-19,2000-03-18
42158,40000,1997-07-05,1998-07-05
42164,40000,1985-03-27,1986-03-27
42164,39702,1986-03-27,1987-03-27
42171,40000,1995-09-14,1996-09-13
42172,40000,1993-08-18,1994-08-18
42174,40000,1998-07-18,1999-07-18
42175,40000,1986-08-13,1987-08-13
42177,40000,1986-12-12,1987-12-12
42178,40000,1989-09-09,1990-09-09
42179,40000,1985-10-14,1986-10-14
42180,40000,1988-12-15,1989-12-15
42186,40000,1989-07-07,1990-07-07
42187,40000,1993-02-16,1994-02-16
42193,40000,1993-08-03,1994-08-03
42193,39952,1994-08-03,1995-08-03
42197,40000,1991-11-30,1992-11-29
42197,39796,1992-11-29,1993-11-29
42198,40000,1987-03-03,1988-03-02
42200,40000,1992-01-20,1993-01-19
42203,40000,1985-12-21,1986-12-21
42204,40000,1989-02-14,1990-02-14
42209,40000,1998-08-09,1999-08-09
42209,39598,1999-08-09,2000-08-08
42210,40000,1987-09-23,1988-09-22
42211,40000,1988-12-05,1989-12-05
42213,40000,1993-06-10,1994-06-10
42217,40000,1997-11-20,1998-05-01
42222,40000,1988-10-26,1989-10-26
42230,40000,1991-07-21,1992-07-20
42231,40000,1991-12-25,1992-12-24
42234,40000,1989-12-06,1990-12-06
42239,40000,1994-09-06,1995-09-06
42240,40000,1993-09-28,1994-09-28
42241,40000,1991-01-23,1992-01-23
42244,40000,1998-12-28,1999-12-28
42246,40000,1999-01-22,2000-01-22
42247,40000,1996-10-31,1997-10-31
42248,40000,1990-07-23,1991-07-23
42252,40000,1993-06-20,1994-06-20
42256,40000,1992-02-08,1993-02-07
42258,40000,1993-08-03,1994-08-03
42265,40000,1999-11-16,2000-10-27
42266,40000,1998-02-11,1999-02-11
42274,40000,1998-12-28,1999-12-28
42275,40000,1995-07-14,1996-07-13
42279,40000,1992-05-10,1993-05-10
42282,40000,1987-06-29,1988-06-28
42286,40000,1994-04-11,1995-04-11
42289,40000,1996-03-20,1997-03-20
42290,40000,1997-04-03,1998-04-03
42292,40000,1999-09-21,2000-09-20
42297,40000,1998-12-07,1999-12-07
42298,40000,1986-08-09,1987-08-09
42301,40000,1992-08-29,1993-08-29
42307,40000,1989-04-15,1990-04-15
42311,40000,1993-01-08,1994-01-08
42314,40000,1995-04-28,1996-04-27
42315,40000,1996-03-05,1997-03-05
42317,40000,1998-01-13,1999-01-13
42318,40000,1985-04-11,1986-04-11
42321,40000,1992-09-11,1993-09-11
42324,40000,1994-12-13,1995-12-13
42325,40000,1990-06-15,1991-06-15
42328,40000,1996-01-31,1997-01-30
42330,40000,1998-04-15,1999-04-15
42332,40000,1990-09-20,1991-09-20
42339,40000,1987-07-07,1988-07-06
42344,40000,1985-10-04,1986-01-20
42347,40000,1994-03-31,1995-03-31
42348,40000,1995-09-18,1996-09-17
42351,40000,1991-07-03,1992-07-02
42352,40000,1999-04-13,2000-04-12
42355,40000,1994-11-16,1994-11-29
42357,40000,1992-11-12,1993-11-12
42358,40000,1985-11-25,1986-11-25
42359,40000,1998-05-29,1999-05-29
42361,40000,1989-08-15,1990-08-15
42361,39514,1990-08-15,1991-08-15
42361,39827,1991-08-15,1992-08-14
42364,40000,1992-01-13,1992-07-20
42369,40000,1989-05-25,1990-05-25
42370,40000,1993-07-30,1994-07-30
42379,40000,1990-05-28,1991-05-28
42383,40000,1995-02-04,1996-02-04
42384,40000,1990-09-24,1991-06-27
42386,40000,1998-01-04,1999-01-04
42390,40000,1994-08-14,1995-08-14
42392,40000,1988-09-11,1989-09-11
42395,40000,1988-01-28,1989-01-27
42398,40000,1990-01-07,1991-01-07
42404,40000,1993-12-05,1994-12-05
42405,40000,1986-09-15,1987-09-15
42405,39566,1987-09-15,1988-09-14
42410,40000,2000-01-09,2001-01-08
42418,40000,1990-01-24,1991-01-24
42419,40000,1991-10-03,1992-10-02
42420,40000,1998-03-16,1999-03-16
42420,39829,1999-03-16,2000-03-15
42421,40000,1994-03-18,1995-03-18
42424,40000,1998-09-16,1999-09-16
42427,40000,1989-09-05,1990-09-05
42430,40000,1987-06-20,1988-06-19
42433,40000,1996-03-07,1997-03-07
42439,40000,1994-08-21,1995-08-21
42439,39573,1995-08-21,1996-08-20
42441,40000,1986-11-14,1987-11-14
42444,40000,1985-03-24,1986-03-24
42449,40000,1987-05-15,1988-05-14
42455,40000,1987-09-20,1988-09-19
42459,40000,1987-03-30,1988-03-29
42461,40000,1996-03-28,1997-03-28
42462,40000,1993-05-06,1994-05-06
42463,40000,1999-05-02,2000-05-01
42466,40000,1995-07-30,1996-07-29
42466,39891,1996-07-29,1997-07-29
42469,40000,1987-05-26,1988-05-25
42469,39779,1988-05-25,1989-05-25
42471,40000,1987-03-23,1988-03-22
42476,40000,1991-01-12,1992-01-12
42479,40000,1995-05-08,1996-05-07
42479,39547,1996-05-07,1997-05-07
42480,40000,1994-04-07,1995-04-07
42481,40000,1997-02-18,1998-02-18
42483,40000,1999-07-17,2000-07-16
42485,40000,1997-03-03,1998-03-03
42487,40000,1994-01-31,1995-01-31
42487,39998,1995-01-31,1996-01-31
42489,40000,1995-07-30,1996-07-29
42492,40000,1993-01-19,1994-01-19
42499,40000,1991-07-10,1992-07-09
42502,40000,1996-03-18,1997-03-18
42516,40000,1988-09-10,1989-09-10
42517,40000,1995-04-25,1996-04-24
42521,40000,1998-02-16,1999-02-16
42523,40000,1996-04-07,1997-04-07
42528,40000,1985-04-23,1986-04-23
42529,40000,1988-02-16,1989-02-15
42530,40000,1998-06-24,1999-06-24
42530,39948,1999-06-24,2000-06-20
42535,40000,1996-08-21,1997-08-21
42536,40000,1988-06-22,1989-06-22
42537,40000,1996-09-13,1997-09-13
42541,40000,1987-02-19,1988-02-19
42546,40000,1999-02-15,2000-02-15
42553,40000,1997-06-06,1998-06-06
42557,40000,1999-01-12,2000-01-12
42559,40000,1992-11-12,1993-11-12
42561,40000,1994-06-11,1995-06-11
42564,40000,1987-04-21,1988-04-20
42566,40000,1998-04-09,1999-04-09
42568,40000,1999-05-28,2000-05-27
42575,40000,1988-11-29,1989-11-29
42575,39977,1989-11-29,1990-11-29
42575,39507,1990-11-29,1991-11-29
42575,39711,1991-11-29,1992-11-28
42578,40000,1989-11-21,1990-11-21
42579,40000,1986-07-13,1987-07-13
42582,40000,1997-11-21,1998-11-21
42585,40000,1987-04-03,1988-04-02
42587,40000,1993-08-13,1994-08-13
42589,40000,1989-03-07,1990-03-07
42593,40000,1993-12-09,1994-12-09
42599,40000,1997-06-06,1998-06-06
42599,39612,1998-06-06,1999-06-06
42600,40000,1993-06-21,1994-06-21
42602,40000,1989-05-19,1990-05-19
42607,40000,1991-11-19,1992-11-18
42608,40000,1985-03-25,1986-03-25
42609,40000,1991-05-20,1992-05-19
42613,40000,1992-06-15,1993-06-15
42617,40000,1998-05-05,1999-05-05
42619,40000,1997-03-24,1998-03-24
42620,40000,1999-04-15,2000-04-14
42626,40000,1988-03-10,1989-03-10
42626,39679,1989-03-10,1990-03-10
42629,40000,1994-10-18,1995-10-18
42630,40000,1985-05-20,1986-05-20
42631,40000,1997-06-23,1998-06-23
42635,40000,1996-04-26,1997-04-26
42638,40000,1988-07-16,1989-07-16
42639,40000,1992-12-07,1993-12-07
42645,40000,1996-12-23,1997-12-23
42647,40000,1995-03-21,1996-03-20
42652,40000,1986-11-05,1987-11-05
42653,40000,1993-08-09,1994-08-09
42656,40000,1986-05-18,1987-05-18
42661,40000,1985-12-21,1986-12-21
42668,40000,1999-06-30,2000-06-29
42672,40000,1999-06-16,2000-06-15
42678,40000,1987-05-05,1988-05-04
42682,40000,1995-08-25,1996-08-24
42683,40000,1988-07-23,1989-07-23
42684,40000,1986-07-29,1987-07-29
42685,40000,1989-05-20,1990-05-20
42686,40000,1999-12-12,2000-12-11
42688,40000,1989-06-20,1990-06-20
42699,40000,1993-10-27,1994-10-27
42702,40000,1986-09-25,1987-09-25
42711,40000,1997-06-20,1998-06-20
42713,40000,1990-06-15,1991-06-15
42720,40000,1995-12-02,1996-12-01
42725,40000,1997-05-08,1998-05-08
42728,40000,1997-03-05,1998-03-05
42731,40000,1985-05-24,1986-05-24
42731,39845,1986-05-24,1987-05-24
42733,40000,1993-11-02,1994-11-02
42739,40000,1995-01-28,1996-01-28
42742,40000,1989-11-17,1990-11-17
42743,40000,1997-09-26,1998-09-26
42744,40000,1999-12-02,2000-12-01
42749,40000,1988-09-03,1989-09-03
42749,39514,1989-09-03,1990-09-03
42749,39036,1990-09-03,1991-09-03
42749,39957,1991-09-03,1992-09-02
42752,40000,1998-08-20,1999-08-20
42752,39900,1999-08-20,2000-08-19
42753,40000,1997-06-22,1998-06-22
42754,40000,1990-09-13,1991-09-13
42759,40000,1997-02-07,1998-02-07
42762,40000,1994-07-23,1995-07-23
42764,40000,1989-10-09,1990-10-09
42772,40000,1996-10-12,1997-09-25
42778,40000,1987-12-18,1988-12-17
42778,39795,1988-12-17,1989-12-17
42780,40000,1990-08-04,1991-08-04
42780,39547,1991-08-04,1992-08-03
42781,40000,1995-07-01,1996-06-30
42781,39512,1996-06-30,1997-06-30
42781,39319,1997-06-30,1998-06-30
42782,40000,1993-09-18,1994-09-18
42786,40000,1998-12-02,1999-12-02
42787,40000,1990-09-30,1991-09-30
42788,40000,1987-10-02,1988-10-01
42789,40000,1996-07-05,1997-07-05
42790,40000,1986-01-21,1987-01-21
42798,40000,1992-02-01,1993-01-31
42799,40000,1995-01-24,1996-01-24
42800,40000,1986-07-20,1987-07-20
42802,40000,1999-06-05,2000-06-04
42803,40000,1995-10-24,1996-10-23
42804,40000,1992-11-11,1993-11-11
42804,39962,1993-11-11,1994-11-11
42806,40000,1997-05-04,1998-05-04
42811,40000,1989-07-08,1990-07-08
42812,40000,1990-09-25,1991-09-25
42812,39738,1991-09-25,1992-09-24
42814,40000,1993-05-23,1994-05-23
42822,40000,1990-02-02,1991-02-02
42824,40000,1991-11-21,1992-11-20
42825,40000,1995-12-19,1996-12-18
42825,39669,1996-12-18,1997-12-18
42826,40000,1996-06-24,1997-06-24
42835,40000,1986-10-03,1987-10-03
42840,40000,1988-02-06,1989-02-05
42841,40000,1996-11-17,1997-11-17
42843,40000,1999-11-09,2000-11-08
42844,40000,1993-10-29,1994-10-29
42845,40000,1985-10-10,1986-10-10
42846,40000,1993-10-17,1994-10-17
42848,40000,1999-01-08,2000-01-08
42848,39549,2000-01-08,2000-07-02
42853,40000,1994-02-05,1995-02-05
42854,40000,1991-01-07,1992-01-07
42855,40000,2000-01-12,2000-05-08
42860,40000,1990-08-01,1991-08-01
42863,40000,1995-11-11,1996-11-10
42869,40000,1992-07-30,1993-07-30
42870,40000,1995-03-16,1996-03-15
42873,40000,1985-11-22,1986-11-22
42876,40000,1988-06-24,1989-06-24
42877,40000,1996-04-22,1997-04-22
42878,40000,1994-11-09,1995-11-09
42883,40000,1995-10-11,1996-10-10
42890,40000,1999-12-03,2000-12-02
42892,40000,1992-09-05,1993-09-05
42896,40000,1995-09-17,1996-09-16
42897,40000,1994-10-02,1995-10-02
42901,40000,1999-06-26,1999-11-22
42903,40000,1988-03-08,1989-03-08
42903,39514,1989-03-08,1990-03-08
42904,40000,1991-12-29,1992-12-28
42909,40000,1997-04-03,1998-04-03
42915,40000,1996-12-03,1997-12-03
42916,40000,1989-07-11,1990-07-11
42919,40000,1991-07-17,1992-07-16
42921,40000,1990-09-29,1991-09-29
42922,40000,1995-06-09,1996-06-08
42924,40000,1992-03-20,1993-03-20
42926,40000,1989-11-10,1990-11-10
42926,39577,1990-11-10,1991-11-10
42926,39256,1991-11-10,1992-11-09
42927,40000,1993-07-22,1994-07-22
42929,40000,1990-08-31,1991-08-31
42937,40000,1994-03-10,1995-03-10
42940,40000,1989-08-17,1990-08-17
42940,39772,1990-08-17,1991-08-17
42942,40000,1998-08-02,1999-08-02
42948,40000,1997-03-24,1998-03-24
42950,40000,1993-10-09,1994-10-09
42955,40000,1995-02-21,1996-02-21
42960,40000,1995-12-14,1996-12-13
42965,40000,1986-10-01,1987-10-01
42968,40000,1985-05-08,1986-05-08
42968,39742,1986-05-08,1987-05-08
42971,40000,1999-02-09,2000-02-09
42974,40000,1991-07-02,1992-07-01
42979,40000,1985-08-30,1986-08-30
42981,40000,1995-03-12,1996-03-11
42982,40000,1994-04-12,1995-04-12
42983,40000,1998-07-02,1999-07-02
42983,39611,1999-07-02,2000-07-01
42985,40000,1999-12-20,2000-12-19
42987,40000,1996-02-24,1997-02-23
42988,40000,1995-11-04,1996-11-03
42993,40000,1987-06-23,1988-06-22
42998,40000,1988-10-10,1989-10-10
42999,40000,1994-12-02,1995-12-02
43001,40000,1988-12-10,1989-12-10
43002,40000,1996-09-17,1997-09-17
43003,40000,1990-05-31,1991-05-31
43003,39667,1991-05-31,1992-05-30
43006,40000,1998-01-01,1999-01-01
43008,40000,1997-12-29,1998-12-29
43010,40000,1994-09-04,1995-09-04
43017,40000,1990-05-23,1991-05-23
43022,40000,1999-05-27,2000-05-26
43026,40000,1990-09-15,1991-09-15
43027,40000,1985-07-15,1986-07-15
43031,40000,1992-05-31,1993-05-31
43033,40000,1993-06-18,1994-06-18
43035,40000,1985-02-09,1986-02-09
43039,40000,1997-07-17,1998-07-17
43042,40000,1985-08-19,1985-10-11
43046,40000,1995-04-16,1996-04-15
43048,40000,1994-07-30,1995-07-30
43051,40000,1992-08-26,1993-08-26
43055,40000,1989-05-02,1990-05-02
43057,40000,1990-02-15,1991-02-15
43060,40000,1994-02-10,1995-02-10
43060,39704,1996-02-10,1997-02-09
43062,40000,1991-11-15,1992-11-14
43063,40000,1990-04-20,1991-04-20
43065,40000,1996-05-23,1997-05-23
43068,40000,1987-05-22,1988-05-21
43072,40000,1991-12-04,1992-12-03
43075,40000,1993-12-10,1994-12-10
43077,40000,1991-06-15,1992-06-14
43080,40000,1996-07-31,1997-07-31
43082,40000,1988-03-16,1989-03-16
43085,39872,1991-10-23,1992-10-22
43086,40000,1989-11-26,1990-11-26
43091,40000,1998-11-14,1999-11-14
43092,40000,1989-03-24,1990-03-24
43093,40000,1985-12-15,1986-12-15
43094,40000,1987-11-07,1988-11-06
43094,39634,1988-11-06,1989-11-06
43097,40000,1994-10-23,1995-10-23
43100,40000,1990-08-23,1991-08-23
43104,40000,1999-07-14,2000-07-13
43104,39877,2000-07-13,2000-08-23
43118,40000,1989-08-01,1990-08-01
43119,40000,1988-11-26,1989-11-26
43120,40000,1999-06-16,2000-06-15
43124,40000,1993-12-24,1994-12-24
43124,39752,1994-12-24,1995-12-24
43130,40000,1996-11-08,1997-11-08
43131,40000,1993-03-23,1994-03-23
43133,40000,1994-01-10,1995-01-10
43138,40000,1998-07-02,1999-07-02
43138,39987,1999-07-02,2000-07-01
43139,40000,1990-11-28,1991-11-28
43140,40000,1994-04-10,1995-04-10
43141,40000,1999-10-26,2000-10-25
43149,40000,1993-06-13,1994-06-13
43150,40000,1990-03-21,1991-03-21
43150,39871,1991-03-21,1992-03-20
43157,40000,1997-04-15,1998-04-15
43160,40000,1998-02-21,1998-12-11
43161,40000,1985-04-04,1986-04-04
43161,39838,1986-04-04,1987-04-04
43164,40000,1992-10-29,1993-10-29
43166,40000,1998-06-22,1999-06-22
43170,40000,1993-11-22,1994-11-22
43171,40000,1999-09-07,2000-09-06
43171,39680,2000-09-06,2001-09-06
43175,40000,1995-04-13,1996-04-12
43180,40000,1990-10-20,1991-10-20
43185,40000,1988-06-13,1989-06-13
43188,40000,1985-11-25,1986-11-25
43190,40000,1992-06-03,1993-06-03
43191,40000,1996-09-14,1997-05-22
43194,40000,1988-08-02,1989-08-02
43195,40000,1995-07-25,1996-07-24
43196,40000,1990-12-21,1991-12-21
43196,39950,1991-12-21,1992-12-20
43201,40000,1987-09-19,1988-09-18
43204,40000,1999-06-20,2000-06-19
43205,40000,1994-05-28,1995-05-28
43206,40000,1994-07-26,1995-07-26
43208,40000,1989-02-27,1990-02-27
43209,40000,1998-06-13,1999-06-13
43216,40000,1987-10-19,1988-10-18
43224,40000,1989-09-21,1990-09-21
43225,40000,1998-05-13,1999-05-13
43226,40000,1987-08-04,1988-08-03
43228,40000,1992-09-18,1993-09-18
43230,40000,1997-11-02,1998-11-02
43237,40000,1996-03-06,1997-03-06
43239,40000,1994-12-11,1995-12-11
43242,40000,1997-07-21,1998-07-21
43244,40000,1999-06-06,2000-06-05
43244,39671,2000-06-05,2001-06-05
43251,40000,1989-01-14,1990-01-14
43252,40000,1985-03-14,1986-03-14
43253,40000,1986-07-14,1987-07-14
43256,40000,1993-12-11,1994-12-11
43260,40000,1997-12-14,1998-12-14
43264,40000,1997-12-16,1998-12-16
43266,40000,1993-12-20,1994-12-20
43267,40000,1986-02-03,1987-02-03
43275,40000,1992-12-02,1993-12-02
43284,40000,1990-05-14,1991-05-14
43288,40000,1985-04-21,1986-04-21
43296,40000,1992-03-19,1993-03-19
43300,40000,1995-08-22,1996-08-21
43301,40000,1997-12-19,1998-12-19
43307,40000,1992-07-07,1993-07-07
43308,40000,1985-11-25,1986-11-25
43310,40000,1987-04-02,1988-04-01
43318,40000,1990-03-01,1991-03-01
43318,39820,1991-03-01,1992-02-29
43318,39880,1992-02-29,1993-02-28
43321,40000,1995-12-07,1996-12-06
43328,40000,1997-11-22,1998-11-22
43331,40000,1987-05-10,1988-05-09
43331,39924,1988-05-09,1989-05-09
43341,40000,1994-08-15,1995-08-15
43341,39840,1995-08-15,1996-08-14
43344,40000,1994-07-18,1995-07-18
43345,40000,1994-05-17,1995-05-17
43346,40000,1995-12-14,1996-11-21
43348,40000,1988-07-05,1989-07-05
43351,40000,1985-06-04,1986-06-04
43363,40000,1987-11-12,1988-11-11
43363,39503,1988-11-11,1989-11-11
43366,40000,1992-11-26,1993-11-26
43374,40000,1997-03-22,1998-03-22
43380,40000,1995-07-27,1996-07-26
43382,40000,1988-04-01,1989-04-01
43383,40000,1998-08-08,1999-08-08
43386,40000,1997-06-24,1998-06-24
43386,39773,1998-06-24,1999-06-24
43389,40000,1999-03-01,2000-02-29
43394,40000,1988-01-17,1989-01-16
43395,40000,1987-10-04,1988-10-03
43397,40000,1995-06-15,1996-06-14
43399,40000,1999-07-15,2000-07-14
43401,40000,1992-02-11,1993-02-10
43401,39796,1993-02-10,1994-02-10
43401,39374,1994-02-10,1995-02-10
43404,40000,1987-04-27,1988-04-26
43407,40000,1997-08-05,1998-08-05
43412,40000,1997-09-19,1998-09-19
43414,40000,1992-05-22,1993-05-22
43418,40000,1996-10-17,1997-09-26
43425,40000,1996-05-01,1997-05-01
43434,40000,1998-01-09,1999-01-09
43434,39634,1999-01-09,2000-01-09
43436,40000,1987-03-15,1988-03-14
43437,40000,1992-03-07,1993-03-07
43437,39505,1993-03-07,1994-03-07
43443,40000,1994-04-09,1995-04-09
43446,40000,1992-02-02,1992-07-15
43453,40000,1993-09-17,1994-09-17
43456,40000,1999-11-23,2000-11-22
43457,40000,1997-05-16,1998-05-16
43459,40000,1992-04-19,1993-04-19
43461,40000,1998-06-17,1999-06-17
43461,39891,1999-06-17,2000-06-16
43461,39572,2000-06-16,2001-06-16
